name,n_alcohol,temperature_K,cutoff_cm1,alcohol_activity,delta_G_standard_1M_kcal_mol,effective_association_kcal_mol,log_activity_ratio_complex_to_bare
hemiaminal_tbuoh_1_seed_02,1,298.15,50.0,0.001,0.26639279772280133,4.35913383682552,-7.357374797336989
hemiaminal_tbuoh_1_seed_02,1,298.15,50.0,0.01,0.26639279772280133,2.99488682379128,-5.054789704342943
hemiaminal_tbuoh_1_seed_02,1,298.15,50.0,0.05,0.26639279772280133,2.0413190831753374,-3.4453517919088434
hemiaminal_tbuoh_1_seed_02,1,298.15,50.0,0.1,0.26639279772280133,1.6306398107570406,-2.7522046113488976
hemiaminal_tbuoh_1_seed_02,1,298.15,50.0,1.0,0.26639279772280133,0.26639279772280133,-0.4496195183548522
hemiaminal_tbuoh_1_seed_02,1,298.15,100.0,0.001,0.6582536018795508,4.750994640982269,-8.018760043234057
hemiaminal_tbuoh_1_seed_02,1,298.15,100.0,0.01,0.6582536018795508,3.3867476279480293,-5.716174950240011
hemiaminal_tbuoh_1_seed_02,1,298.15,100.0,0.05,0.6582536018795508,2.433179887332087,-4.106737037805911
hemiaminal_tbuoh_1_seed_02,1,298.15,100.0,0.1,0.6582536018795508,2.02250061491379,-3.4135898572459653
hemiaminal_tbuoh_1_seed_02,1,298.15,100.0,1.0,0.6582536018795508,0.6582536018795508,-1.1110047642519199
hemiaminal_tbuoh_1_seed_02,1,298.15,150.0,0.001,0.7550058571323461,4.847746896235065,-8.182059136822067
hemiaminal_tbuoh_1_seed_02,1,298.15,150.0,0.01,0.7550058571323461,3.4834998832008246,-5.87947404382802
hemiaminal_tbuoh_1_seed_02,1,298.15,150.0,0.05,0.7550058571323461,2.529932142584882,-4.270036131393921
hemiaminal_tbuoh_1_seed_02,1,298.15,150.0,0.1,0.7550058571323461,2.1192528701665854,-3.576888950833975
hemiaminal_tbuoh_1_seed_02,1,298.15,150.0,1.0,0.7550058571323461,0.7550058571323461,-1.27430385783993
hemiaminal_tbuoh_1_seed_02,1,360.0,50.0,0.001,2.386973985576333,7.328737440471449,-10.244343988691615
hemiaminal_tbuoh_1_seed_02,1,360.0,50.0,0.01,2.386973985576333,5.68148295550641,-7.941758895697568
hemiaminal_tbuoh_1_seed_02,1,360.0,50.0,0.05,2.386973985576333,4.53010148100787,-6.332320983263467
hemiaminal_tbuoh_1_seed_02,1,360.0,50.0,0.1,2.386973985576333,4.034228470541372,-5.639173802703524
hemiaminal_tbuoh_1_seed_02,1,360.0,50.0,1.0,2.386973985576333,2.386973985576333,-3.3365887097094773
hemiaminal_tbuoh_1_seed_02,1,360.0,100.0,0.001,2.943523115984135,7.885286570879251,-11.022306193616497
hemiaminal_tbuoh_1_seed_02,1,360.0,100.0,0.01,2.943523115984135,6.238032085914212,-8.719721100622452
hemiaminal_tbuoh_1_seed_02,1,360.0,100.0,0.05,2.943523115984135,5.086650611415672,-7.110283188188351
hemiaminal_tbuoh_1_seed_02,1,360.0,100.0,0.1,2.943523115984135,4.590777600949174,-6.4171360076284065
hemiaminal_tbuoh_1_seed_02,1,360.0,100.0,1.0,2.943523115984135,2.943523115984135,-4.114550914634361
hemiaminal_tbuoh_1_seed_02,1,360.0,150.0,0.001,3.0935274289404333,8.03529088383555,-11.231987028029474
hemiaminal_tbuoh_1_seed_02,1,360.0,150.0,0.01,3.0935274289404333,6.3880363988705104,-8.929401935035427
hemiaminal_tbuoh_1_seed_02,1,360.0,150.0,0.05,3.0935274289404333,5.236654924371971,-7.319964022601327
