MinModeTranslate: STEP      TIME          ENERGY    MAX-FORCE     STEPSIZE    CURVATURE  ROT-STEPS
MinModeTranslate:    0  01:54:11    -3282.208553       0.0406     --------    -0.054862          4
MinModeTranslate:    0  01:54:12    -3282.208553       0.0406     0.050000    -0.054862          4
MinModeTranslate:    1  01:54:26    -3282.215034       0.2833     --------    -0.059911          4
MinModeTranslate:    1  01:54:27    -3282.215034       0.2833     0.016640    -0.059911          4
MinModeTranslate:    2  01:54:42    -3282.216939       0.3487     --------    -0.063433          4
MinModeTranslate:    2  01:54:43    -3282.216939       0.3487     0.027382    -0.063433          4
MinModeTranslate:    3  01:54:58    -3282.217885       0.8066     --------    -0.066186          4
MinModeTranslate:    3  01:54:59    -3282.217885       0.8066     0.050000    -0.066186          4
MinModeTranslate:    4  01:55:16    -3282.224783       0.7280     --------    -0.066965          4
MinModeTranslate:    4  01:55:17    -3282.224783       0.7280     0.005512    -0.066965          4
MinModeTranslate:    5  01:55:30    -3282.227586       0.0380     --------    -0.065970          4
MinModeTranslate:    5  01:55:30    -3282.227586       0.0380     0.009447    -0.065970          4
MinModeTranslate:    6  01:55:44    -3282.228195       0.1726     --------    -0.062830          4
MinModeTranslate:    6  01:55:44    -3282.228195       0.1726     0.034806    -0.062830          4
MinModeTranslate:    7  01:55:58    -3282.230240       0.3697     --------    -0.069159          4
MinModeTranslate:    7  01:55:59    -3282.230240       0.3697     0.050000    -0.069159          4
MinModeTranslate:    8  01:56:13    -3282.234997       0.4585     --------    -0.079805          4
MinModeTranslate:    8  01:56:14    -3282.234997       0.4585     0.030070    -0.079805          4
MinModeTranslate:    9  01:56:27    -3282.240176       0.3020     --------    -0.063407          4
MinModeTranslate:    9  01:56:27    -3282.240176       0.3020     0.017931    -0.063407          4
MinModeTranslate:   10  01:56:39    -3282.242008       0.2494     --------    -0.068682          4
MinModeTranslate:   10  01:56:39    -3282.242008       0.2494     0.013869    -0.068682          4
MinModeTranslate:   11  01:56:50    -3282.243449       0.3281     --------    -0.081506          4
MinModeTranslate:   11  01:56:51    -3282.243449       0.3281     0.031919    -0.081506          4
MinModeTranslate:   12  01:57:01    -3282.246392       0.2114     --------    -0.065386          4
MinModeTranslate:   12  01:57:02    -3282.246392       0.2114     0.020208    -0.065386          4
MinModeTranslate:   13  01:57:12    -3282.248179       0.2848     --------    -0.057633          4
MinModeTranslate:   13  01:57:13    -3282.248179       0.2848     0.031295    -0.057633          4
MinModeTranslate:   14  01:57:23    -3282.250802       0.2401     --------    -0.066325          4
MinModeTranslate:   14  01:57:24    -3282.250802       0.2401     0.050000    -0.066325          4
MinModeTranslate:   15  01:57:35    -3282.255428       0.2953     --------    -0.072071          4
MinModeTranslate:   15  01:57:35    -3282.255428       0.2953     0.026358    -0.072071          4
MinModeTranslate:   16  01:57:46    -3282.258223       0.3069     --------    -0.059960          4
MinModeTranslate:   16  01:57:46    -3282.258223       0.3069     0.040409    -0.059960          4
MinModeTranslate:   17  01:58:04    -3282.261165       0.3224     --------    -0.063954          4
MinModeTranslate:   17  01:58:04    -3282.261165       0.3224     0.037228    -0.063954          4
MinModeTranslate:   18  01:58:16    -3282.264381       0.3279     --------    -0.087625          4
MinModeTranslate:   18  01:58:16    -3282.264381       0.3279     0.038269    -0.087625          4
MinModeTranslate:   19  01:58:27    -3282.267490       0.3516     --------    -0.077791          4
MinModeTranslate:   19  01:58:28    -3282.267490       0.3516     0.050000    -0.077791          4
MinModeTranslate:   20  01:58:38    -3282.271524       0.3650     --------    -0.058790          4
MinModeTranslate:   20  01:58:39    -3282.271524       0.3650     0.039232    -0.058790          4
MinModeTranslate:   21  01:58:49    -3282.274517       0.2651     --------    -0.073629          4
MinModeTranslate:   21  01:58:50    -3282.274517       0.2651     0.050000    -0.073629          4
MinModeTranslate:   22  01:59:01    -3282.278540       0.2984     --------    -0.079173          4
MinModeTranslate:   22  01:59:02    -3282.278540       0.2984     0.029745    -0.079173          4
MinModeTranslate:   23  01:59:13    -3282.281274       0.2458     --------    -0.060343          4
MinModeTranslate:   23  01:59:14    -3282.281274       0.2458     0.044736    -0.060343          4
MinModeTranslate:   24  01:59:24    -3282.283551       0.2560     --------    -0.059077          4
MinModeTranslate:   24  01:59:24    -3282.283551       0.2560     0.035646    -0.059077          4
MinModeTranslate:   25  01:59:34    -3282.285766       0.3086     --------    -0.079740          4
MinModeTranslate:   25  01:59:35    -3282.285766       0.3086     0.050000    -0.079740          4
MinModeTranslate:   26  01:59:45    -3282.289723       0.2241     --------    -0.077311          4
MinModeTranslate:   26  01:59:46    -3282.289723       0.2241     0.015075    -0.077311          4
MinModeTranslate:   27  01:59:57    -3282.291565       0.1920     --------    -0.061223          4
MinModeTranslate:   27  01:59:57    -3282.291565       0.1920     0.013425    -0.061223          4
MinModeTranslate:   28  02:00:07    -3282.292357       0.1303     --------    -0.067778          4
MinModeTranslate:   28  02:00:08    -3282.292357       0.1303     0.012119    -0.067778          4
MinModeTranslate:   29  02:00:18    -3282.293076       0.2415     --------    -0.082702          4
MinModeTranslate:   29  02:00:19    -3282.293076       0.2415     0.015463    -0.082702          4
MinModeTranslate:   30  02:00:29    -3282.293824       0.1537     --------    -0.072125          4
MinModeTranslate:   30  02:00:29    -3282.293824       0.1537     0.019707    -0.072125          4
MinModeTranslate:   31  02:00:39    -3282.294630       0.2511     --------    -0.059880          4
MinModeTranslate:   31  02:00:40    -3282.294630       0.2511     0.029792    -0.059880          4
MinModeTranslate:   32  02:00:52    -3282.295678       0.2200     --------    -0.072159          4
MinModeTranslate:   32  02:00:52    -3282.295678       0.2200     0.050000    -0.072159          4
MinModeTranslate:   33  02:01:03    -3282.297211       0.2960     --------    -0.084288          4
MinModeTranslate:   33  02:01:04    -3282.297211       0.2960     0.050000    -0.084288          4
MinModeTranslate:   34  02:01:15    -3282.299524       0.2391     --------    -0.066455          4
MinModeTranslate:   34  02:01:15    -3282.299524       0.2391     0.042821    -0.066455          4
MinModeTranslate:   35  02:01:26    -3282.302470       0.2646     --------    -0.057518          4
MinModeTranslate:   35  02:01:27    -3282.302470       0.2646     0.050000    -0.057518          4
MinModeTranslate:   36  02:01:38    -3282.304208       0.2330     --------    -0.071831          4
MinModeTranslate:   36  02:01:38    -3282.304208       0.2330     0.038524    -0.071831          4
MinModeTranslate:   37  02:01:49    -3282.306590       0.2347     --------    -0.064329          4
MinModeTranslate:   37  02:01:50    -3282.306590       0.2347     0.050000    -0.064329          4
MinModeTranslate:   38  02:02:08    -3282.308224       0.2477     --------    -0.061798          4
MinModeTranslate:   38  02:02:09    -3282.308224       0.2477     0.041801    -0.061798          4
MinModeTranslate:   39  02:02:20    -3282.310663       0.2023     --------    -0.076414          4
MinModeTranslate:   39  02:02:21    -3282.310663       0.2023     0.050000    -0.076414          4
MinModeTranslate:   40  02:02:32    -3282.311869       0.2584     --------    -0.069903          4
MinModeTranslate:   40  02:02:33    -3282.311869       0.2584     0.037015    -0.069903          4
