MinModeTranslate: STEP      TIME          ENERGY    MAX-FORCE     STEPSIZE    CURVATURE  ROT-STEPS
MinModeTranslate:    0  03:29:15    -3282.165730       0.2796     --------    -1.438274          4
MinModeTranslate:    0  03:29:17    -3282.165730       0.2796     0.004244    -1.438274          4
MinModeTranslate:    1  03:29:45    -3282.166902       0.1081     --------    -1.537868          4
MinModeTranslate:    1  03:29:47    -3282.166902       0.1081     0.004701    -1.537868          4
MinModeTranslate:    2  03:30:16    -3282.167436       0.0917     --------    -1.611536          4
MinModeTranslate:    2  03:30:18    -3282.167436       0.0917     0.005638    -1.611536          4
MinModeTranslate:    3  03:30:46    -3282.167868       0.0347     --------    -1.655768          4
MinModeTranslate:    3  03:30:48    -3282.167868       0.0347     0.013420    -1.655768          4
MinModeTranslate:    4  03:31:17    -3282.168562       0.1706     --------    -1.709193          4
MinModeTranslate:    4  03:31:18    -3282.168562       0.1706     0.010801    -1.709193          4
MinModeTranslate:    5  03:31:48    -3282.169092       0.1086     --------    -1.760240          4
MinModeTranslate:    5  03:31:49    -3282.169092       0.1086     0.013017    -1.760240          4
MinModeTranslate:    6  03:32:18    -3282.169672       0.0602     --------    -1.819463          4
MinModeTranslate:    6  03:32:19    -3282.169672       0.0602     0.043742    -1.819463          4
MinModeTranslate:    7  03:32:45    -3282.171545       0.1650     --------    -1.822018          4
MinModeTranslate:    7  03:32:47    -3282.171545       0.1650     0.047793    -1.822018          4
MinModeTranslate:    8  03:33:14    -3282.173595       0.2686     --------    -1.843231          4
MinModeTranslate:    8  03:33:15    -3282.173595       0.2686     0.043684    -1.843231          4
MinModeTranslate:    9  03:33:42    -3282.175484       0.0956     --------    -1.841388          4
MinModeTranslate:    9  03:33:43    -3282.175484       0.0956     0.040613    -1.841388          4
MinModeTranslate:   10  03:34:11    -3282.177164       0.0865     --------    -1.733575          4
MinModeTranslate:   10  03:34:12    -3282.177164       0.0865     0.043897    -1.733575          4
MinModeTranslate:   11  03:34:37    -3282.178900       0.1021     --------    -1.685370          4
MinModeTranslate:   11  03:34:38    -3282.178900       0.1021     0.037788    -1.685370          4
MinModeTranslate:   12  03:35:01    -3282.180297       0.2151     --------    -1.709302          4
MinModeTranslate:   12  03:35:02    -3282.180297       0.2151     0.045595    -1.709302          4
MinModeTranslate:   13  03:35:22    -3282.181925       0.1761     --------    -1.741964          4
MinModeTranslate:   13  03:35:23    -3282.181925       0.1761     0.050000    -1.741964          4
MinModeTranslate:   14  03:35:44    -3282.184784       0.1209     --------    -1.754489          4
MinModeTranslate:   14  03:35:45    -3282.184784       0.1209     0.014935    -1.754489          4
MinModeTranslate:   15  03:36:03    -3282.186882       0.2968     --------    -1.762653          4
MinModeTranslate:   15  03:36:04    -3282.186882       0.2968     0.014049    -1.762653          4
MinModeTranslate:   16  03:36:23    -3282.188302       0.0915     --------    -1.772961          4
MinModeTranslate:   16  03:36:24    -3282.188302       0.0915     0.017965    -1.772961          4
MinModeTranslate:   17  03:36:46    -3282.190158       0.1114     --------    -1.804318          4
MinModeTranslate:   17  03:36:48    -3282.190158       0.1114     0.015945    -1.804318          4
MinModeTranslate:   18  03:37:11    -3282.191543       0.2725     --------    -1.886019          4
MinModeTranslate:   18  03:37:13    -3282.191543       0.2725     0.023140    -1.886019          4
MinModeTranslate:   19  03:37:30    -3282.193428       0.1748     --------    -1.970648          4
MinModeTranslate:   19  03:37:31    -3282.193428       0.1748     0.036552    -1.970648          4
MinModeTranslate:   20  03:37:50    -3282.196335       0.2272     --------    -1.954124          4
MinModeTranslate:   20  03:37:51    -3282.196335       0.2272     0.030788    -1.954124          4
