      Step     Time          Energy          fmax
FIRE:    0 23:07:12    -1605.721779        6.472070
FIRE:    1 23:07:14    -1605.992492        6.161920
FIRE:    2 23:07:17    -1606.248916        5.787645
FIRE:    3 23:07:20    -1606.436089        5.343214
FIRE:    4 23:07:22    -1606.580598        5.025508
FIRE:    5 23:07:24    -1606.720782        4.816835
FIRE:    6 23:07:25    -1606.857604        4.564969
FIRE:    7 23:07:28    -1606.991772        4.259466
FIRE:    8 23:07:30    -1607.124043        3.892175
FIRE:    9 23:07:34    -1607.255114        3.562329
FIRE:   10 23:07:35    -1607.385560        3.428211
FIRE:   11 23:07:37    -1607.515513        3.291503
FIRE:   12 23:07:39    -1607.644561        3.149398
FIRE:   13 23:07:42    -1607.771956        2.980596
FIRE:   14 23:07:44    -1607.896775        2.766569
FIRE:   15 23:07:46    -1608.017858        2.667643
FIRE:   16 23:07:48    -1608.133588        2.583412
FIRE:   17 23:07:51    -1608.241736        2.472596
FIRE:   18 23:07:54    -1608.339613        2.566986
FIRE:   19 23:07:57    -1608.424554        2.551970
FIRE:   20 23:07:59    -1608.494645        2.222735
FIRE:   21 23:08:01    -1608.549420        2.168064
FIRE:   22 23:08:04    -1608.590308        2.095687
FIRE:   23 23:08:07    -1608.620592        2.002872
FIRE:   24 23:08:10    -1608.644622        1.888660
FIRE:   25 23:08:13    -1608.666323        1.759019
FIRE:   26 23:08:14    -1608.687704        1.633181
FIRE:   27 23:08:16    -1608.708430        1.526293
FIRE:   28 23:08:20    -1608.726816        1.426471
FIRE:   29 23:08:22    -1608.741453        1.417114
FIRE:   30 23:08:24    -1608.752236        1.373951
FIRE:   31 23:08:26    -1608.760352        1.255345
FIRE:   32 23:08:28    -1608.767408        1.239859
FIRE:   33 23:08:29    -1608.774724        1.209154
FIRE:   34 23:08:32    -1608.782828        1.164458
FIRE:   35 23:08:34    -1608.791365        1.106234
FIRE:   36 23:08:36    -1608.799483        1.031577
FIRE:   37 23:08:39    -1608.806452        1.211968
FIRE:   38 23:08:41    -1608.812143        1.490492
FIRE:   39 23:08:43    -1608.817084        1.639242
FIRE:   40 23:08:45    -1608.822126        1.616839
FIRE:   41 23:08:47    -1608.827960        1.420901
FIRE:   42 23:08:50    -1608.834817        1.086900
FIRE:   43 23:08:52    -1608.842457        0.947284
FIRE:   44 23:08:55    -1608.850398        0.905047
FIRE:   45 23:08:57    -1608.858196        0.851355
FIRE:   46 23:09:00    -1608.865601        0.790569
FIRE:   47 23:09:02    -1608.872584        0.887144
FIRE:   48 23:09:05    -1608.879288        1.017225
FIRE:   49 23:09:07    -1608.885973        1.056649
FIRE:   50 23:09:09    -1608.892908        0.994056
FIRE:   51 23:09:11    -1608.900242        0.855402
FIRE:   52 23:09:14    -1608.907931        0.679296
FIRE:   53 23:09:16    -1608.915777        0.749586
FIRE:   54 23:09:18    -1608.923548        0.769661
FIRE:   55 23:09:22    -1608.931107        0.741468
FIRE:   56 23:09:24    -1608.938456        0.798909
FIRE:   57 23:09:26    -1608.945678        0.911694
FIRE:   58 23:09:28    -1608.952870        0.907861
FIRE:   59 23:09:31    -1608.960110        0.779358
FIRE:   60 23:09:34    -1608.967451        0.615285
FIRE:   61 23:09:36    -1608.974885        0.563352
FIRE:   62 23:09:40    -1608.982303        0.612379
FIRE:   63 23:09:41    -1608.989589        0.676991
FIRE:   64 23:09:43    -1608.996767        0.644237
FIRE:   65 23:09:46    -1609.004004        0.658667
FIRE:   66 23:09:49    -1609.011435        0.675359
FIRE:   67 23:09:52    -1609.018990        0.703782
FIRE:   68 23:09:55    -1609.026427        0.748114
FIRE:   69 23:09:57    -1609.033557        0.805263
FIRE:   70 23:10:00    -1609.040402        0.864066
FIRE:   71 23:10:03    -1609.047155        0.907223
FIRE:   72 23:10:05    -1609.054016        0.917674
FIRE:   73 23:10:08    -1609.061064        0.885323
FIRE:   74 23:10:10    -1609.068245        0.811623
FIRE:   75 23:10:12    -1609.075428        0.713173
FIRE:   76 23:10:15    -1609.082503        0.723031
FIRE:   77 23:10:18    -1609.089463        0.726383
FIRE:   78 23:10:19    -1609.096401        0.713669
FIRE:   79 23:10:21    -1609.103431        0.678840
FIRE:   80 23:10:23    -1609.110571        0.626279
FIRE:   81 23:10:25    -1609.117704        0.571342
FIRE:   82 23:10:27    -1609.124659        0.530482
FIRE:   83 23:10:28    -1609.131332        0.506991
FIRE:   84 23:10:31    -1609.137754        0.488395
FIRE:   85 23:10:33    -1609.144039        0.461618
FIRE:   86 23:10:35    -1609.150269        0.424419
FIRE:   87 23:10:37    -1609.156423        0.386907
FIRE:   88 23:10:39    -1609.162411        0.381391
FIRE:   89 23:10:41    -1609.168147        0.429899
FIRE:   90 23:10:44    -1609.173584        0.432978
FIRE:   91 23:10:47    -1609.178687        0.445082
FIRE:   92 23:10:50    -1609.183393        0.494670
FIRE:   93 23:10:52    -1609.187617        0.531860
FIRE:   94 23:10:55    -1609.191341        0.542164
FIRE:   95 23:10:58    -1609.194658        0.517283
FIRE:   96 23:11:00    -1609.197725        0.459022
FIRE:   97 23:11:02    -1609.200647        0.379932
FIRE:   98 23:11:05    -1609.203432        0.377895
FIRE:   99 23:11:07    -1609.206079        0.381177
FIRE:  100 23:11:10    -1609.208688        0.375882
