species_key,catalyst_id,state,temperature_K,E_elec,ZPVE,H_298,S_harmonic,S_qRRHO,G_298_qRRHO_sol,delta_G_concentration,energy_unit,entropy_unit,charge,formula,method,certificate,certificate_sha256,native_protocol_reference,export_protocol_reference,geometry,geometry_sha256,spectrum,spectrum_sha256,conformer_source,accepted_attempt,selection_temperature_K,selection_scope,pressure_pa,concentration_mol_l,cutoff_cm1,unpaired_electrons,symmetry_number
aniline,,reference,420.0,-12126.616466246141,71.07793109265559,-12047.445438329527,86.4626660152907,86.45953688083281,-12080.803936949254,2.954506870223601,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,430.0,-12126.616466246141,71.07793109265559,-12047.086034932037,87.30832751554244,87.30379659814562,-12081.58170843834,3.044959030900024,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,440.0,-12126.616466246141,71.07793109265559,-12046.719644614568,88.15061074873188,88.14469885439316,-12082.367438736734,3.135873373767528,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
benzaldehyde,,reference,298.15,-13856.982995495624,66.38587617215343,-13785.838571135144,80.98828955022135,80.71534366476781,-13808.0095224033,1.894328445494145,kcal/mol,cal/(mol K),0,C7H6O,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/benzaldehyde/stationarity/result.json,3f46fd56a8a071c7e4fdfe9972db25c91e7807951f2d2b7fb661fb482d116e75,data/reference_thermochemistry/benzaldehyde/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/benzaldehyde/stationarity/accepted_geometry.xyz,e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9,data/reference_thermochemistry/benzaldehyde/stationarity/hessian_00.npz,64b76d5543cceee8f41ba798404dcfd80e1e4663692826bc2b20b21159eae912,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
benzaldehyde,,reference,340.0,-13856.982995495624,66.38587617215343,-13784.63784171675,84.75189492662062,84.40483199536847,-13811.086511810809,2.248972784367174,kcal/mol,cal/(mol K),0,C7H6O,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/benzaldehyde/stationarity/result.json,3f46fd56a8a071c7e4fdfe9972db25c91e7807951f2d2b7fb661fb482d116e75,data/reference_thermochemistry/benzaldehyde/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/benzaldehyde/stationarity/accepted_geometry.xyz,e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9,data/reference_thermochemistry/benzaldehyde/stationarity/hessian_00.npz,64b76d5543cceee8f41ba798404dcfd80e1e4663692826bc2b20b21159eae912,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
benzaldehyde,,reference,350.0,-13856.982995495624,66.38587617215343,-13784.329719495985,85.64500885591667,85.2814245727887,-13811.842937598878,2.3352804975836268,kcal/mol,cal/(mol K),0,C7H6O,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/benzaldehyde/stationarity/result.json,3f46fd56a8a071c7e4fdfe9972db25c91e7807951f2d2b7fb661fb482d116e75,data/reference_thermochemistry/benzaldehyde/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/benzaldehyde/stationarity/accepted_geometry.xyz,e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9,data/reference_thermochemistry/benzaldehyde/stationarity/hessian_00.npz,64b76d5543cceee8f41ba798404dcfd80e1e4663692826bc2b20b21159eae912,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
benzaldehyde,,reference,360.0,-13856.982995495624,66.38587617215343,-13784.013574489514,86.5355643145972,86.15587313581176,-13812.607532757687,2.422156060718619,kcal/mol,cal/(mol K),0,C7H6O,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/benzaldehyde/stationarity/result.json,3f46fd56a8a071c7e4fdfe9972db25c91e7807951f2d2b7fb661fb482d116e75,data/reference_thermochemistry/benzaldehyde/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/benzaldehyde/stationarity/accepted_geometry.xyz,e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9,data/reference_thermochemistry/benzaldehyde/stationarity/hessian_00.npz,64b76d5543cceee8f41ba798404dcfd80e1e4663692826bc2b20b21159eae912,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
benzaldehyde,,reference,370.0,-13856.982995495624,66.38587617215343,-13783.689503187406,87.42343717270316,87.02803453080934,-13813.380292267759,2.509583696046293,kcal/mol,cal/(mol K),0,C7H6O,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/benzaldehyde/stationarity/result.json,3f46fd56a8a071c7e4fdfe9972db25c91e7807951f2d2b7fb661fb482d116e75,data/reference_thermochemistry/benzaldehyde/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/benzaldehyde/stationarity/accepted_geometry.xyz,e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9,data/reference_thermochemistry/benzaldehyde/stationarity/hessian_00.npz,64b76d5543cceee8f41ba798404dcfd80e1e4663692826bc2b20b21159eae912,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
benzaldehyde,,reference,380.0,-13856.982995495624,66.38587617215343,-13783.357610756579,88.30849008089487,87.89775355890063,-13814.16120862995,2.597548479011341,kcal/mol,cal/(mol K),0,C7H6O,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/benzaldehyde/stationarity/result.json,3f46fd56a8a071c7e4fdfe9972db25c91e7807951f2d2b7fb661fb482d116e75,data/reference_thermochemistry/benzaldehyde/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/benzaldehyde/stationarity/accepted_geometry.xyz,e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9,data/reference_thermochemistry/benzaldehyde/stationarity/hessian_00.npz,64b76d5543cceee8f41ba798404dcfd80e1e4663692826bc2b20b21159eae912,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
benzaldehyde,,reference,383.15,-13856.982995495624,66.38587617215343,-13783.251462595153,88.5866745512527,88.17118335254195,-13814.408885141105,2.625366355574337,kcal/mol,cal/(mol K),0,C7H6O,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/benzaldehyde/stationarity/result.json,3f46fd56a8a071c7e4fdfe9972db25c91e7807951f2d2b7fb661fb482d116e75,data/reference_thermochemistry/benzaldehyde/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/benzaldehyde/stationarity/accepted_geometry.xyz,e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9,data/reference_thermochemistry/benzaldehyde/stationarity/hessian_00.npz,64b76d5543cceee8f41ba798404dcfd80e1e4663692826bc2b20b21159eae912,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
